section,name,url,classification,status,final_url,content_type,playlist_latency_ms,playlist_bytes,manifest_level,segment_attempted,segment_ok,encrypted_hint,segment_statuses,segment_latency_ms,error,checked_at
国际,ABC Australia,https://abc-news-dmd-streams-1.akamaized.net/out/v1/abc83881886746b0802dc3e7ca2bc792/index.m3u8,transport_ok,200,https://abc-news-dmd-streams-1.akamaized.net/out/v1/701126012d044971b3fa89406a440133/index_5.m3u8,application/x-mpegURL,811.8,1441,master+media,1,1,False,[200],[130.0],,2026-08-15T14:32:54+00:00
国际,ABC News Live,https://aegis-cloudfront-1.tubi.video/d6cbb0de-68e4-4f3b-82f9-bf5d526e0bde/index.m3u8,transport_ok,200,https://aegis-cloudfront-1.tubi.video/d6cbb0de-68e4-4f3b-82f9-bf5d526e0bde/index_1.m3u8,application/x-mpegURL,4212.3,1267,master+media,1,1,False,[200],[3420.7],,2026-08-15T14:32:54+00:00
国际,ABC News Live,https://d4ybyqrhce41r.cloudfront.net/v1/master/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod-xumo-linear-nbcu-hlsv3/master.m3u8?ads.channelId=99991626,transport_ok,200,https://d4ybyqrhce41r.cloudfront.net/v1/manifest/3fec3e5cac39a52b2132f9c66c83dae043dc17d4/prod-xumo-linear-nbcu-hlsv3/d284d476-f744-4906-9a08-834ca93d34e4/0.m3u8,application/vnd.apple.mpegurl,1651.4,4183,master+media,1,1,False,[200],[1124.4],,2026-08-15T14:32:54+00:00
国际,AJE,https://live-hls-web-aje-fa.getaj.net/AJE/index.m3u8,transport_ok,200,https://live-hls-web-aje-fa.getaj.net/AJE/01.m3u8,application/vnd.apple.mpegurl,4639.7,1404,master+media,1,1,False,[200],[3214.9],,2026-08-15T14:32:54+00:00
国际,Arirang,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b3256000_sleng.m3u8,transport_ok,200,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b3256000_sleng.m3u8,application/x-mpegURL,1257.7,274,media,1,1,False,[200],[732.4],,2026-08-15T14:32:54+00:00
国际,BBC News,https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/mobile_wifi_main_sd_abr_v2.m3u8,transport_ok,200,https://vs-hls-push-ww-live.akamaized.net/x=4/i=urn:bbc:pips:service:bbc_news_channel_hd/t=3840/v=pv8/b=827008/a=pa4/b=128000/main.m3u8,application/vnd.apple.mpegurl,2386.8,51629,master+media,1,1,False,[200],[137.5],,2026-08-15T14:32:54+00:00
国际,CBS News,https://cbsn-us-vtt.cbsnstream.cbsnews.com/out/v1/ef868690d34144509eda696884bf1619/master.m3u8,transport_ok,200,https://cbsn-us-vtt.cbsnstream.cbsnews.com/out/v1/ef868690d34144509eda696884bf1619/master_6.m3u8,application/x-mpegURL,4234.0,1927,master+media,1,1,False,[200],[3327.9],,2026-08-15T14:32:54+00:00
国际,CBS News,https://cbsn-us.cbsnstream.cbsnews.com/out/v1/55a8648e8f134e82a470f83d562deeca/master.m3u8,transport_ok,200,https://cbsn-us.cbsnstream.cbsnews.com/out/v1/55a8648e8f134e82a470f83d562deeca/master_19.m3u8,application/x-mpegURL,3965.6,2000,master+media,1,1,False,[200],[3719.0],,2026-08-15T14:32:54+00:00
国际,CBS News,https://jmp2.uk/plu-6350fdd266e9ea0007bedec5.m3u8,transport_ok_encrypted_hint,200,https://stitcher-ipv4.pluto.tv/v2/stitch/embed/hls/channel/6350fdd266e9ea0007bedec5/1539795/playlist.m3u8?sid=SAMSUNG-TVPLUS-54b1fe86-90ae-45c5-80ca-62edf9dfd76c&deviceId=9cb358ce-1fd1-4408-85f4-c98af430b28d&authToken=eyJhbGciOiJIUzI1NiIsImtpZCI6ImQyZGEzNDMzLTYwYTEtNGYxZi1iNTMzLWFlN2E0MDE5Zjk0MiIsInR5cCI6IkpXVCJ9.eyJwYXJ0bmVyIjoic2Ftc3VuZ3R2cGx1cyIsImZlYXR1cmVzIjp7Im11bHRpUG9kQWRzIjp7ImNvaG9ydCI6IiIsImVuYWJsZWQiOnRydWV9LCJzdGl0Y2hlckhsc05nIjp7ImRlbXV4ZWRBdWRpbyI6ImRpc2FibGVkIn0sInN0aXRjaGVySGxzTmdWbGwiOnsiZW5hYmxlZCI6dHJ1ZX0sInN0aXRjaGVyUGFydG5lclNob3dTbGF0ZSI6eyJlbmFibGVkIjp0cnVlfX0sImlzcyI6InNlcnZpY2UtcGFydG5lci1hdXRoLnBsdXRvLnR2Iiwic3ViIjoicHJpOnYxOnBsdXRvOmRldmljZXM6YzJGdGMzVnVaM1IyY0d4MWN3PT0iLCJhdWQiOiIqLnBsdXRvLnR2IiwiZXhwIjoxNzg2ODU4MDQ4LCJpYXQiOjE3ODY3NzE2NDgsImp0aSI6IjhlNDk1ODEyLThjNjMtNDU1Zi04ZDQyLWNlMjNlOTQ4OGM1YyJ9.Rl6P03og2xhof25bqIWipX5ZmyHlGT-gkj6C0OcW10I,application/x-mpegURL,1125.2,6230,master+media,1,1,True,[200],[6420.4],,2026-08-15T14:32:54+00:00
国际,CBS News,https://jmp2.uk/plu-6231eb3865be650007f59595.m3u8,transport_ok_encrypted_hint,200,https://stitcher-ipv4.pluto.tv/v2/stitch/embed/hls/channel/6231eb3865be650007f59595/1539795/playlist.m3u8?sid=SAMSUNG-TVPLUS-01841941-ef2d-4273-a0ee-6eb0ea90c7fb&deviceId=423c0aeb-8f86-48d2-9c72-6c2d79bec7e9&authToken=eyJhbGciOiJIUzI1NiIsImtpZCI6ImQyZGEzNDMzLTYwYTEtNGYxZi1iNTMzLWFlN2E0MDE5Zjk0MiIsInR5cCI6IkpXVCJ9.eyJwYXJ0bmVyIjoic2Ftc3VuZ3R2cGx1cyIsImZlYXR1cmVzIjp7Im11bHRpUG9kQWRzIjp7ImNvaG9ydCI6IiIsImVuYWJsZWQiOnRydWV9LCJzdGl0Y2hlckhsc05nIjp7ImRlbXV4ZWRBdWRpbyI6ImRpc2FibGVkIn0sInN0aXRjaGVySGxzTmdWbGwiOnsiZW5hYmxlZCI6dHJ1ZX0sInN0aXRjaGVyUGFydG5lclNob3dTbGF0ZSI6eyJlbmFibGVkIjp0cnVlfX0sImlzcyI6InNlcnZpY2UtcGFydG5lci1hdXRoLnBsdXRvLnR2Iiwic3ViIjoicHJpOnYxOnBsdXRvOmRldmljZXM6YzJGdGMzVnVaM1IyY0d4MWN3PT0iLCJhdWQiOiIqLnBsdXRvLnR2IiwiZXhwIjoxNzg2ODU4MDQ4LCJpYXQiOjE3ODY3NzE2NDgsImp0aSI6IjhlNDk1ODEyLThjNjMtNDU1Zi04ZDQyLWNlMjNlOTQ4OGM1YyJ9.Rl6P03og2xhof25bqIWipX5ZmyHlGT-gkj6C0OcW10I,application/x-mpegURL,5382.5,6230,master+media,1,1,True,[200],[6741.7],,2026-08-15T14:32:54+00:00
